Geladeira;preco;preco_desconto;parcelas;valor_parcela
Refrigerador Brastemp 2 Portas Evox 375l Frost Free 127v;3.645,88;3.099,00;12;303,82
Geladeira/Refrigerador Top Freezer 431L Platinum (TF55S);4.529,00;3.533,07;12;316,58
Geladeira Refrigerador Brastemp 375 Litros 2 Portas Frost Free BRM44HB;3.459,90;2.804,92;10;329,99
Refrigerador Electrolux Frost Free 371 Litros Branco DFN41 - 127 Volts;3.358,00;2.378,30;12;233,17
Refrigerador Midea Frost Free 425 Litros Inox MD-RT453  127 Volts;3.694,00;2.616,30;12;256,50
Geladeira Frost Free Electrolux DFX41 371 Litros Duplex Inox 110V;3.399,00;2.537,10;12;234,92
Refrigerador Panasonic BT40 387L 2 Portas Aço Escovado Frost Free 127V NR-BT40BD1XA;2.776,67;2.499,00;12;231,39
Geladeira Frost Free Electrolux 540 Litros 3 Portas Inverse Inverter Inox (DM90X);18.999,00;14.879,07;12;1.333,25
Geladeira/Refrigerador Electrolux Cycle Defrost;5.599,00;3.419,91;10;359,99
Geladeira Brastemp Frost Free Duplex 462 litros Branca com Turbo Control;5.329,00;4.199,00;12;349,92
Geladeira/Refrigerador Frost Free Electrolux Inox 553L Infinity (DF82X);6.529,00;4.370,07;12;391,58
Geladeira Panasonic Frost Free Inverter 2 Portas BT55 483 Litros Aço Escovado 110V;3.899,00;3.131,10;12;289,92
Bandeja de Gelo Ice Twister A96999301 Refrigerador Electrolux DM84X, DB84X, DB84S;111,65;103,83;3;37,22
Refrigerador Consul Frost Free Duplex 450 Litros Branco CRM56HB  127 Volts;4.283,00;3.033,65;12;297,42
Geladeira Inverse Electrolux 454 Litros Frost Free Branca DB53  110V;4.138,50;3.517,73;12;344,88
Geladeira/Refrigerador Electrolux Inox Frost Free ;7.350,00;5.224,05;10;549,90
Geladeira Brastemp Frost Free Duplex 500 litros cor Inox com Turbo Control - BRM57AK;5.571,00;5.571,00;1;5.571,00
Geladeira/Refrigerador Samsung Frost Free;3.999,90;3.324,05;10;349,90
Geladeira panasonic bb53 branca 425l 127v;3.764,06;3.199,45;12;313,67
Refrigerador Electrolux Duplex 260L CycleDeFrost Branco 220V;1.998,82;1.699,00;12;166,57
Geladeira Frost Free Electrolux DF56 474 Litros Duplex Top Freezer Branca 110V;4.399,00;3.446,10;12;319,08
Geladeira Frost Free Philco 482L 4 Portas PRF500I French Door Inverse 127V;4.998,89;4.499,00;12;416,57
Refrigerador Electrolux Frost Free 371 Litros DFX41 - 220 Volts;3.398,32;2.888,57;12;283,19
Geladeira/Refrigerador Brastemp Frost Free Inverse;7.490,00;5.082,41;10;534,99
Geladeira Consul Frost Free Duplex 450 litros com Espaço Flex cor Branca Com Painel Eletrônico Externo CRM56HB;4.119,00;3.679,00;12;306,58
Refrigerador Continental Frost Free Duplex Branca 472 Litros TC56 127V;3.832,00;3.257,20;12;319,33
Refrigerador Electrolux Top Freezer 474L Platinum (DF56S) 127V;4.513,84;3.836,76;12;376,15
Geladeira/Refrigerador Electrolux IF56B Inverter ;7.183,14;5.599,00;10;559,90
Geladeira/Refrigerador Continental;4.620,00;3.609,05;10;379,90
Geladeira Consul Frost Free Duplex 386 litros cor Inox com Prateleira Dobrável - CRM43NK;3.789,00;3.789,00;1;3.789,00
Geladeira/Refrigerador Panasonic Frost Free - Duplex 435L NR-BT50BD3XA 127V;3.221,11;2.899,00;12;268,43
Geladeira/Refrigerador Consul Frost Free 1 Porta CRB39A 342 Litros Branco;2.399,00;1.804,05;10;189,90
Geladeira Inverse Inverter Electrolux 454 Litros Frost Free Branca IB53 - 220V;3.901,35;3.316,15;12;325,11
Geladeira Frost Free Continental TC56 472 Litros Duplex Branca 110V;3.299,00;2.645,10;12;244,92
Refrigerador Electrolux 371L 2 Portas Frost Free Branco 127V DFN41;2.940,00;2.399,00;12;235,20
Geladeira Electrolux Frost Free 2 Portas DF56S 474 Litros Platinum 110V;4.699,00;3.761,10;12;348,25
Geladeira / Refrigerador Brastemp 375 Litros 2 Portas Frost Free BRM44HB;2.459,00;2.459,00;1;2.459,00
Refrigerador Duplex Esmaltec 276 Litros RCD34 Duplex Inox;2.129,00;1.823,05;1;1.823,05
Refrigerador 419 Litros Brastemp 2 Portas Frost Free Inverse Bry59bkana;7.792,90;5.549,00;10;596,67
Refrigerador Panasonic BT40 387L 2 Portas Aço Escovado Frost Free 220V NR-BT40BD1XB;2.776,67;2.499,00;12;231,39
Refrigerador Panasonic BT40 387L 2 Portas Aço Escovado Frost Free 127V NR-BT40BD1XA;2.776,67;2.499,00;12;231,39
Refrigerador Consul Frost Free 342L Inox CRB39AK  220 Volts;2.408,91;2.047,57;12;200,74
Refrigerador Midea Side by Side 528L Preto Midea;6.699,00;5.899,00;12;491,58
Refrigerador Consul Frost Free 300 Litros CRB36ABBNA Branco  220 Volts;2.317,96;1.970,27;12;193,16
Geladeira/Refrigerador Esmaltec Cycle Defrost 2 Portas RCD34 276 Litros Inox;2.199,00;1.994,05;10;209,90
Geladeira Consul CRE44AK Frost Free Duplex 397L;4.699,90;4.139,91;12;383,33
Refrigerador Degelo Prático 240L Cycle Defrost Branco RE31 127V;1.665,56;1.499,00;12;138,80
Geladeira Refrigerador Frost Free BRM56AK 462 Litros 2 Portas Brastemp;3.999,00;3.999,00;1;3.999,00
Refrigerador Electrolux Degelo Prático RE31 com Controle de Temperatura 240L Branco 220V;1.621,11;1.459,00;12;135,09
Geladeira/Refrigerador Inverter Top Freezer 431L Branco (IF55);0;0;0;0
Geladeira Frost Free Continental TC41S 370 Litros Duplex;2.499,00;2.499,00;1;2.499,00
Refrigerador Electrolux Top Freezer 431L Platinum TF55S 127V;3.734,50;3.174,33;12;311,21
Geladeira/Refrigerador Midea Tipo Frost Free;4.480,00;3.149,10;10;349,90
Geladeira/Refrigerador Brastemp Frost Free Duplex;6.860,00;4.274,05;10;449,90
Refrigerador Panasonic BT50 Top Freezer 435L 2 Portas Branco Frost Free 127V NR-BT50BD3WA;3.410,59;2.899,00;12;284,22
Geladeira Top Freezer Electrolux 382 Litros Frost Free  Branco TF42  110V;2.825,92;2.402,03;12;235,49
Refrigerador Electrolux Top Freezer 431L Platinum 220V TF55S;3.834,12;2.999,00;12;294,02
Geladeira Electrolux French Door Inverter Frost Free Inox 538L DM85X;10.799,00;10.799,00;1;10.799,00
Geladeira Panasonic Bottom Freezer 2 Portas Frost Free 425L NR-BB53GV3 Preto;4.999,00;4.999,00;1;4.999,00
