Notebook;preco;preco_desconto;parcelas;valor_parcela
"Notebook Dell Alienware m15 R6 AW15-i1100-M30PB 15.6"" FHD 11ª ger Intel Core i7 16GB 1TB SSD RTX 3070 Win 11 + Mochila";14.599,00;14.279,00;12;1.189,92
PC Gamer Mancer Áton, Intel i7-10700K, NVIDIA RTX 3070 8GB, 16GB DDR4, HD 1TB + SSD 120GB;16.462,49;13.583,08;12;1.131,92
Moldura Bezel Para Dell Alienware 15 R3 15 R4 0r8c3m R8c3m;222,20;206,65;7;31,74
Notebook Gamer XPG Xenia Gun Metal Intel Core i7-9750H, NVIDIA GeForce RTX2070, 16GB RAM, SSD 512GB, Windows 10 Home, 15.6, Preto - 15260024;11.111,00;10.999,89;12;916,66
"Notebook Dell Alienware m15 R6 AW15-i1100-M10PB 15.6"" FHD 11ª ger Intel Core i7 16GB 512GB SSD RTX 3060 Win 11 + Mochila";12.599,00;12.279,00;12;1.023,25
Notebook Gamer 15.6pol Dell G3 3500-U10P (Core i5 10300H, 8GB DDR4, SSD 256GB nVME, GTX 1650 4GB, Linux);8.647,04;8.214,69;12;720,59
Acer Aspire 5 528V Intel I5-8GB RAM1TBHD128GBSSD15.6GeForce GTX 1650 Windows 10 Preto / Vermelho;9.899,99;9.404,99;10;990,00
Notebook Gamer Aspire Nitro 5 AN515-44-R11B AMD Ryzen 7 8GB 512GB SSD GTX1650 15,6' Endless;6.499,00;6.174,05;12;541,58
Asus Zephyrus G14 (Laptop Gamer) RTX 3060 Ryzen9 5900HS tela 14' SSD 2Tb NVMe RAM 16Gb;24.200,00;22.990,00;12;2.016,67
Notebook Gamer 2AM 9ºG Intel Core i7-9700 8GB 1TB+128GB SSD 3GB Tela 15 Polegadas Windows 10;7.199,00;7.199,00;1;7.199,00
MSI GL66 (Laptop Gamer) i7-11800H tela 15' FHD Nvidia RTX 3060 SSD 512Gb NVMe RAM 16Gb;26.800,00;25.460,00;12;2.233,33
Notebook Dell Gaming G3-3500-M40P 15.6 10ª Geração Intel Core i7 16GB 512GB SSD NVIDIA RTX 2060;10.979,99;10.430,99;12;915,00
"Notebook Gamer Dell G3 3500-M40P 15.6"" 10ª Geração Intel Core i7 16GB 512GB SSD NVIDIA RTX 2060 Windows 10";10.199,00;8.279,10;12;766,58
Notebook Dell Gamer G3 - Tela 15.6 Full HD- i7 10750H, 16GB, SSD 512GB + HD 2TB, GeForce RTX 2060;0;0;0;0
 Notebook Gamer 2AM E550 Intel Core i5 8GB 256GB;0;0;0;0
Notebook Gamer Acer Aspire Nitro 5 AN515-44-R8HN;0;0;0;0
"Notebook ideapad Gaming 3i i7-10750H 16GB 512GB SSD GTX 1650 4GB 15.6"" FHD WVA W10 82CG0004BR";0;0;0;0
Notebook Gamer Aspire Nitro 5 AN517-52-56PR Intel Core i5 8GB 512GB GTX 1650 SSD 17.3' Full HD;0;0;0;0
"Notebook Gamer Dell G3 3500-M10P 15.6"" 10ª Geração Intel Core i5 8GB 256GB SSD NVIDIA GTX 1650 Windows 10";0;0;0;0
Notebook gamer l340 core i5-9300h, 8gb, 1tb, gtx1050, windows 10 - 81tr0002br  LENOVO;0;0;0;0
Notebook HP 250 G7 Intel Core i5 8GB 256GB SSD;0;0;0;0
"Notebook Gamer Dell G3 3500-U10P 15.6"" 10ª Geração Intel Core i5 8GB 256GB SSD NVIDIA GTX 1650 Linux";0;0;0;0
Notebook Gamer Acer Nitro 5 AN515-54-528V Intel Core i5 Windows 10 Home 8GB 1TB HD 128GB SSD GTX 1650 15.6';0;0;0;0
Notebook Gamer Acer 9º Geração Intel Core i5-9300H 8GB 512SSD Placa 4GB Tela 15 Polegadas;0;0;0;0
"Notebook 15.6"" gamer ideapad i5-10300h/gaming 3i, 8gb/ssd256/gtx1650,4gb/win 10 - 82cg0002br  LENOVO";0;0;0;0
Notebook Gamer Acer Nitro 5 AN515-55-705 Intel ;0;0;0;0
