Livro;preco;preco_desconto;parcelas;valor_parcela
 Batismo de fogo - The Witcher - A saga do bruxo Geralt de Rívia;39,90;34,90;2;17,45
 Harry potter e a ordem da fênix;41,94;35,65;1;35,65
 Tempo do desprezo - The Witcher - A saga do bruxo Geralt de Rívia (capa dura);64,90;39,50;2;19,75
 O Silêncio da Cidade Branca;59,90;27,90;1;27,90
 As Crônicas das Sombras;64,90;46,90;3;15,63
 Contos Inacabados de Númenor e da Terra-média;69,90;44,20;2;22,10
 O cavalo amarelo;44,90;24,90;1;24,90
 A morte e a vida de Alan Turing;59,90;42,90;2;21,45
 Canção de ninar;34,90;34,90;1;34,90
 Cinderela está morta;37,91;34,12;1;34,12
 As crônicas de Nárnia - O leão, a feiticeira e o guarda-roupa;44,90;24,90;1;24,90
 O silêncio da chuva;59,90;39,90;2;19,95
 As crônicas de Nárnia - volume único;114,88;41,29;1;41,29
 Turma da Mônica - Uma Viagem do Brasil ao Japão;34,31;34,31;1;34,31
 Belas adormecidas;79,90;59,80;3;19,93
 Torre do alvorecer;74,90;52,40;3;17,47
 Venha o que vier;59,90;36,90;2;18,45
 Sol e tormenta;37,91;34,12;1;34,12
 O guia de mistério e diversão do Dipper e da Mabel!;79,90;51,90;1;51,90
 Uma chama entre as cinzas (Vol. 1);41,42;37,28;1;37,28
 Fantasmas do Mercado das Sombras;59,90;32,90;2;16,45
 Os elefantes nao esquecem;34,90;23,10;1;23,10
 Uma aposta irresistível;31,90;31,90;1;31,90
 Lendários;64,90;51,90;1;51,90
 Imitação mortal (Vol. 17);59,90;14,90;1;14,90
 Três coroas negras (Livro 1);39,90;26,91;1;26,91
 A maldição do mar;44,90;31,90;2;15,95
 Tempo de Tempestade - The Witcher - A Saga do Bruxo Geralt de Rivia - Prelúdio (Capa game);49,90;34,90;2;17,45
 Crime e castigo;11,71;10,54;1;10,54
 A vida secreta dos escritores;64,90;42,90;1;42,90
 Príncipe mecânico (Vol. 2 As Peças Infernais);59,90;36,90;2;18,45
 Árvore dos Desejos;54,90;24,90;1;24,90
 O universo de Harry Potter de A a Z;19,90;13,70;1;13,70
 Guerra do Velho;64,90;29,90;1;29,90
A Dança dos Dragões ;35,00;31,50;1;31,50
 A garota que bebeu a lua;54,90;29,90;1;29,90
 O último desejo - The Witcher - A saga do bruxo Geralt de Rívia (capa dura);64,90;45,40;3;15,13
 Um tom mais escuro de magia (Vol. 1 Os tons de magia);59,90;32,90;2;16,45
 O segredo do colecionador;43,90;39,51;1;39,51
 Ilíada;28,90;28,90;1;28,90
 A mansão hollow;34,90;25,10;1;25,10
 Gente Ansiosa;64,90;45,56;1;45,56
 HARRY POTTER E O ENIGMA DO PRÍNCIPE (CAPA DURA) – Edição Comemorativa dos 20 anos da Coleção Harry Potter –;74,90;41,90;2;20,95
 O Corvo;49,90;29,30;1;29,30
 H.P. Lovecraft - Medo Clássico - Vol. 1 - Miskatonic Edition;64,90;43,90;2;21,95
 M ou N?;44,90;44,90;1;44,90
 Procure nas cinzas;59,90;41,51;1;41,51
 Kindred: laços de sangue;54,90;27,90;1;27,90
 Star Wars : Kenobi;79,90;74,31;2;39,95
 O guia da Star e do Marco para zerar todas as dimensões;49,90;44,91;1;44,91
 Um encontro de sombras (Vol. 2 Tons de magia);59,90;39,90;2;19,95
 Neuromancer;54,90;32,90;2;16,45
 Vingança (Vol. 2 Vilões);59,90;42,90;2;21,45
 Filhos do Éden: Paraíso Perdido (Vol. 3);64,90;45,90;1;45,90
 QUADRIBOL ATRAVÉS DOS SÉCULOS ( CAPA DURA – ILUSTRADO);149,90;80,80;5;16,16
 Cretino irresistível;19,90;17,91;1;17,91
 O bater de suas asas;54,90;34,90;2;17,45
 Paixão (Vol. 3 Fallen);54,90;29,90;1;29,90
 Harry Potter - Guia cinematográfico;24,90;13,90;1;13,90
 Nevermoor;54,90;24,90;1;24,90
 Boneco de neve;59,90;31,60;2;15,80
 Cabala e a arte de manutenção da carroça;24,90;13,00;1;13,00
 Leopardo Negro, Lobo Vermelho;99,90;59,90;3;19,97
 Good Omens: Belas Maldições;44,90;24,90;1;24,90
 O Pequeno Príncipe;9,61;8,65;1;8,65
 Lembra aquela vez;39,50;21,90;1;21,90
 Sandman - A história de Sanderson Soneca;34,50;16,90;1;16,90
 A Garota que Lia as Estrelas;29,90;29,90;1;29,90
 Diários do vampiro: O despertar (Vol. 1);44,90;24,90;1;24,90
 Uma dobra no tempo;29,90;20,90;1;20,90
 As Crônicas Marcianas;49,90;35,93;1;35,93
 A mãe da mãe de sua mãe e suas filhas;34,70;34,70;1;34,70
 Dama da meia-noite (Vol. 1 Os Artifícios das Trevas);69,90;39,90;2;19,95
 2083;48,00;44,64;1;44,64
 Box Marvel Guerra Civil;49,90;33,21;1;33,21
 Flores Para Algernon;44,51;44,51;1;44,51
 Cemitérios de Dragões;34,50;16,30;1;16,30
 Nem vem - Ficções;59,90;42,90;2;21,45
 O Encantador de Livros;31,90;28,48;1;28,48
 Crônicas de Morrighan;49,90;29,90;1;29,90
 Animais fantásticos e onde habitam;31,66;31,66;1;31,66
 Cem gramas de centeio;34,90;22,50;1;22,50
 O duque que eu conquistei (Segredos da Charlotte Street – Livro 1);25,03;22,53;1;22,53
 Fantoches e Contos: Cachinhos Dourados;69,90;59,76;2;33,20
 Zootopia;65,00;35,91;1;35,91
 A nuvem;47,90;30,50;2;15,25
 A garota desaparecida;34,87;34,87;1;34,87
 A Era da Escuridão (Pré-venda com brinde);69,90;34,90;2;17,45
 A noite das bruxas;44,90;27,80;1;27,80
 Carros;54,00;24,90;1;24,90
 Escola mágica;14,90;6,70;1;6,70
 Box House of Night - Slim;82,90;74,61;2;41,45
 OS AMADORES;54,90;29,00;1;29,00
 Eu que nunca conheci os homens;59,90;39,63;1;39,63
 O gigante enterrado;62,90;44,64;1;44,64
 Vilão (Vol. 1);54,90;35,10;2;17,55
 O pequeno príncipe;59,90;39,90;2;19,95
 Frozen;54,00;23,90;1;23,90
 O Meu Pé de Laranja Lima;45,00;25,90;1;25,90
 Box Alice No País Das Maravilhas E Alice Através Do Espelho + Alice Para Colorir;79,90;31,41;1;31,41
 A Longa Viagem a um Pequeno Planeta Hostil;54,90;40,90;2;20,45
 Conjurador: O aprendiz (Vol. 1);54,90;33,10;2;16,55
 Um estudo em vermelho: edição bolso de luxo;39,90;27,90;1;27,90
 Celebridade Mortal;59,90;59,90;1;59,90
 Filhos do Éden: Anjos da morte (Vol. 2);64,90;29,90;1;29,90
 O mistério dos três pedaços;44,90;30,90;2;15,45
 O retrato de Dorian Gray;28,90;21,68;1;21,68
 Artemis;44,90;35,90;1;35,90
 Um trono negro (Três coroas negras - Livro 2);44,90;22,90;1;22,90
 Em busca de um novo amanhã;54,90;38,90;1;38,90
 O guia do mochileiro das galáxias - Edição Ilustrada;49,90;36,90;2;18,45
 Carros 3;69,00;25,90;1;25,90
 Anne de Green Gables;39,90;26,40;1;26,40
 Uma conjuração de luz (Vol. 3 Tons de Magia);79,90;52,90;3;17,63
 Cidade do fogo celestial (Vol.6 Os Instrumentos Mortais);54,90;26,90;1;26,90
 O Homem do Castelo Alto;37,17;37,17;1;37,17
 Frozen;54,00;24,90;1;24,90
 The X-Files: Origens - Agente do caos;34,90;17,40;1;17,40
 A bússola de ouro;37,03;37,03;1;37,03
 O Reizinho do Castelo Perdido;49,00;29,90;1;29,90
 Um anjo de mochila azul;29,90;26,91;1;26,91
 Dois reinos sombrios (Três coroas negras - Livro 3);44,90;35,90;1;35,90
 A garota do calendário: Dezembro;34,90;15,90;1;15,90
 Cidade dos anjos caídos (Vol.4 Os Instrumentos Mortais);54,90;29,90;1;29,90
 O diário perdido de Gravity falls;49,99;44,99;1;44,99
 Sempre em frente;41,93;37,74;1;37,74
 A Pergunta e a Resposta;69,90;39,90;2;19,95
 Uma mulher no escuro — vencedor Jabuti 2020;37,03;37,03;1;37,03
 Noivas em fuga;31,66;28,49;1;28,49
 O Casamento;49,90;24,90;1;24,90
 A Mão Esquerda Da Escuridão;47,31;47,31;1;47,31
 O mundo das vozes silenciadas;29,50;15,70;1;15,70
 Box - As novas aventuras de Sherlock Holmes;179,90;64,90;4;16,23
 Histórias Para Crianças...2 anos;29,90;26,91;1;26,91
 Dom Quixote;63,90;63,90;1;63,90
 Viagem ao centro da Terra;14,90;14,90;1;14,90
 Vista chinesa;42,17;37,95;1;37,95
 Box Duna: segunda trilogia;259,90;233,91;4;58,48
 Arsène Lupin e a mulher de dois sorrisos;12,14;10,93;1;10,93
 Sweet (Vol. 3 Contornos do coração);39,90;29,96;1;29,96
 Frozen;99,00;20,90;1;20,90
 Circo Mecânico Tresaulti - Limited Edition;54,90;37,90;2;18,95
 Sadie;49,90;35,03;1;35,03
 Terra de histórias : A colisão dos mundos;37,79;34,01;1;34,01
 Eu, cupido;29,90;29,90;1;29,90
 Livro das mil e uma noites - Volume 5;79,90;57,53;2;31,96
" Dipper e Mabel em ""A maldição do tesouro dos piratas do tempo""";58,90;58,90;1;58,90
 Cidade das Almas Perdidas & Cidade do Fogo Celestial (edição de colecionador – 2 em 1);149,90;99,66;6;17,48
 Lordes e damas;54,90;23,00;1;23,00
 O sumiço da lua;46,40;41,76;1;41,76
 Animais fantásticos e onde habitam;149,90;82,90;5;16,58
 Os noivos do inverno;34,59;34,59;1;34,59
 O mundo perdido;69,90;39,90;1;39,90
 A senhora verdade e a dona história;52,40;52,40;1;52,40
 Sombras eternas (Vol. 2 Companhia Negra);59,90;9,40;1;9,40
 A fada mamãe e eu: Fada-na-fila-de-espera (Vol. 2);34,59;34,59;1;34,59
 Filhos de Duna;89,90;50,90;1;50,90
 Deep;16,90;15,21;1;15,21
 O jogo de Ripper;59,90;42,90;2;21,45
 A lenda do violeiro invejoso;44,90;30,90;2;15,45
 Alice viaja nas histórias;49,50;49,50;1;49,50
 O menino, o bilhete e o vento;45,00;35,91;1;35,91
 OBSIDIANA;24,90;22,41;1;22,41
 Arsène Lupin contra Herlock Sholmes;41,40;37,26;1;37,26
 As cores de Corina;44,90;44,90;1;44,90
 O Bom Dinossauro;115,00;59,90;3;19,97
 O enigma de Blackthorn;52,00;33,85;1;33,85
 Sexta-feira o rabino acordou tarde;54,90;43,90;1;43,90
 Canção de Susannah;64,90;39,00;2;19,50
