Notebooks;preco;parcelas;valor_parcelas
"Lenovo Chromebook Flex 3 11&quot; MTK 2-in-1 11.6&quot; Touch Screen MediaTek MT8173C 4GB Memória 32GB eMMC Flash Memory - Platinum Grey 82HG0000US";5.686,00;10;568,60
"Samsung 15.6&quot; Chromebook Intel Celeron 4GB Memória 32GB eMMC Flash Memory - Platinum Titan XE350XBA-K01US";5.645,00;10;564,50
"Notebook Acer Aspire 5 A515-54G-53XP Intel Core i5-10210U 8GB 256GB SSD M.2 MX 250 com 2GB 15,6&quot; Full HD Windows 10 Home, Cinza";8.589,99;10;859,00
Notebook Acer Aspire 5 A515-54-511Q, Intel® Core I5-1035G1, 8GB, 256GB SSD, 15.6` Silver Windows 10;6.789,99;10;679,00
Notebook Dell Latitude 3410 Core I5 10210U 1.6Ghz Memoria 8Gb Ssd 240Gb Tela 14 Windows 10;5.899,90;10;589,99
Notebook Gamer Aspire Nitro 5 AN515-44-R11B AMD Ryzen 7 8GB 512GB SSD GTX1650 15,6` Endless;6.499,00;10;649,90
Notebook Acer A515-54-557C Intel Core I5 4Gb 256Gb Ssd Prata;4.799,90;10;479,99
Notebook Lenovo B330 Intel I5 8Gb Ssd 256Gb Win10 Pro Preto;6.054,90;10;605,49
Notebook Ápple Mácbook Pro Mid 2020 16GB RAM 1TB SSD MWP82LL Prata;16.995,03;10;1.699,50
Notebook;4.278,00;10;427,80
"ASUS Chromebook Flip C436 14&quot; 2-in-1 Touchscreen FHD Laptop Intel Core i3-10110U 8GB 128GB - Prata C436FADS388T";13.221,00;10;1.322,10
"HP 14&quot; 2-In-1 Touchscreen Chromebook Intel Core i3 8GB Memória 128GB SSD - Mineral Prata 14c-cc0013dx";11.145,00;10;1.114,50
"HP 11.6&quot; Chromebook Intel Celeron 4GB Memória 32GB eMMC Flash Memory - Ash Gray 11A-NB0013DX";4.820,00;10;482,00
"HP 14&quot; Chromebook Intel Celeron 4GB Memória 32GB eMMC - Ceramic Branco 14a-na0020nr";5.370,00;10;537,00
"ASUS 2-in-1 15.6&quot; Touch-Screen Chromebook Intel Core 11th Gen i3 8GB Memória 128GB SSD - Matte Branco C536EA-BI3T3";10.045,00;10;1.004,50
"HP 2-in-1 14&quot; Touch-Screen Chromebook Intel Core i3 8GB Memória 64GB eMMC Flash Memory - Mineral Prata 14C-CA0053DX";8.120,00;10;812,00
"HP 2-in-1 14&quot; Touch-Screen Chromebook Intel Pentium Prata 4GB Memória 64GB eMMC Flash Memory - Ceramic Branco 14B-CA0023DX";7.982,00;10;798,20
"Acer Spin 13 2-in-1 13.5&quot; Touch-Screen Chromebook Intel Core i3 8GB Memória 64GB eMMC Flash Memory - Steel Gray NX.EFJAA.001";13.221,00;10;1.322,10
"Acer - Spin 11 2-in-1 11.6&quot; Touch-Screen Chromebook Intel Celeron 4GB Memória 32GB eMMC Flash Memory - Obsidian Black NX.GPZAA.001";5.686,00;10;568,60
"ASUS - 2-in-1 14&quot; Touch-Screen Chromebook Intel Core m3 4GB Memória 64GB eMMC Flash Memory - Prata C433TA-BM3T8";9.495,00;10;949,50
"ASUS Flip C434TA 2-in-1 14&quot; Touch-Screen Chromebook Intel Core m3 4GB Memória 64GB eMMC Flash Memory - Spangle Prata C434TA-DSM4T";10.058,00;10;1.005,80
"HP 13.5&quot; 2-in-1 x360 Touch-Screen Chromebook Intel Core i5 8GB Memória 256GB SSD - Natural Prata 13c-ca0013dx";15.270,00;10;1.527,00
"Lenovo S345-14AST 14&quot; Touch-Screen Chromebook AMD A6-Series 4GB Memória AMD Radeon R5 32GB eMMC Flash Memory - Platinum Gray 81WX0000UX";6.745,00;10;674,50
