Geladeira;preco;parcelas;valor_parcelas
Geladeira/Refrigerador Consul Frost Free 342L CRB39Ak Inox;2.245,93;10;224,59
Geladeira/Refrigerador Consul Frost Free 1 Porta CRB39A 342 Litros Branco;2.399,00;10;239,90
Refrigerador Samsung Inverter Frost Free Side by Side RS65R5411M9 com SpaceMax Inox Look - 617L;12.899,00;12;1.074,92
Refrigerador Brastemp Inverse BRE59AK Frost Free com Espaço Adapt 460L - Prata;6.499,00;12;541,58
Geladeira Refrigerador Panasonic 425L Frost Free Inverse NR-BB53PV3X;4.199,90;12;349,99
Refrigerador Brastemp BRE57AK Frost Free Duplex 443 Litros Inverse;4.099,89;12;341,66
Geladeira Refrigerador Brastemp 400 Litros Frost Free Evox 2 Portas BRM54;3.599,90;12;299,99
Refrigerador Electrolux Cycle Defrost 2 Portas 475 Litros DC51;3.509,04;12;292,42
Refrigerador Continetal Frost Free Duplex 472L TC56 Branco;3.192,00;12;266,00
Geladeira/Refrigerador TF55 Top Freezer 431L ;3.129,00;12;260,75
Geladeira Frost Free Top Freezer 382L com Dispenser de Água;3.199,00;12;266,58
Geladeira/Refrigerador Electrolux Frost Free 2 Portas TF42 382 Litros;3.198,14;12;266,51
Refrigerador Continental TC44S Frost Free com Gavetão de Frutas 394L – Prata;2.793,80;11;253,98
Refrigerador Consul Frost Free Duplex 340 litros CRM39AB Branca;2.938,69;11;267,15
Refrigerador 370 Litros Continental 2 Portas Frost Free TC41;2.832,72;11;257,52
Geladeira Consul CRD37 334L Duplex;2.349,00;10;234,90
Side By Side Philco PRF520DI – Geladeira e Freezer;6.900,00;12;575,00
Geladeira/Refrigerador TF56S Top Freezer 474L ;3.599,00;12;299,92
Refrigerador Brastemp Frost Free Duplex 500L 2 Portas BRM57ABANA;4.665,56;12;388,80
Geladeira/Refrigerador Frost Free 500L Brastemp BRM57AB;4.419,90;12;368,32
Refrigerador Frost Free Bottom Freezer Inverter Branco 454 L;3.699,00;12;308,25
Refrigerador Frost Free 310 Litros Platinum (TF39S);2.499,00;10;249,90
Refrigerador Brastemp Frost Free 375 litros Inox BRM44HK – 127 Volts;3.468,20;12;289,02
Refrigerador Electrolux Frost Free 382 Litros Top Freezer Platinum TF42S – 220 Volts;3.798,41;12;316,53
Refrigerador Consul Frost Free Duplex CRM43HB Branco - 386L ;3.081,10;12;256,76
Geladeira/Refrigerador Esmaltec Cycle Defrost 2 Portas RCD34 276 Litros Inox;2.099,00;10;209,90
Geladeira Consul 1 Porta 295L CRB39 Frost Free - Branco;2.114,60;10;211,46
