Livro;preco;parcelas;valor_parcelas
 The Walking Dead: Ascensão do Governador - Volume 1 - Robert Kirkman e Jay Bonansinga;44,39;1;44,39
 Lírael: a Filha do Clayer - Garth Nix;41,90;1;41,90
 O Último Desejo;37,91;1;37,91
 Um Segredo de Família;18,01;1;18,01
 Crônicas do Mundo de Emerso - A Garota da Terra do Vento: Volume 1 - Licia Troisi;32,37;1;32,37
 Zorro: Começa a Lenda;59,90;1;59,90
 O Demônio na Cidade Branca: assassinato, Magia e Loucura na Feira que Mudou os EUA;68,00;1;68,00
 O Filho Eterno;44,93;1;44,93
 Ponto de Impacto - Dan Brown;43,92;1;43,92
 O Homem Duplicado - José Saramago - Edição de Bolso;30,32;1;30,32
 Volume 3;27,20;1;27,20
 A Morte da Luz - George R. R. Martin;40,00;1;40,00
 Wild Cards - Apostas Mortais - Livro 3 - George R. R. Martin;50,00;1;50,00
 Resident Evil: Retribuição - John Shirley;30,00;1;30,00
 John Carter: Entre Dois Mundos - Edgar Rice Burroughs;30,00;1;30,00
 World of Warcraft - A Ruptura - Christie Golden;45,00;1;45,00
 Assassin's Creed - Irmandade - Volume 2 - Olive Bowden;47,90;1;47,90
 Vortex: Depois da Tempestade Não Haverá Calmaria - Julie Cross;22,25;1;22,25
 A Torre Partida - Livro 2 - J Barton Mitchell ;22,25;1;22,25
 O Temor do Sábio: a Crônica do Matador do Rei: Segundo Dia;71,92;1;71,92
 Veredas - Um Sinal de Esperança - Giselda Laporta Nicolelis;36,61;1;36,61
Deadly Deed;0;0;0
Noble Prince;0;0;0
Fallen Jester;0;0;0
Giants Daughter;0;0;0
Clandestine;0;0;0
The Global Conspiracy Exposed;0;0;0
FAçA SUA COROA DE GELO BRILHAR + IMã PERSONALIZADO;0;0;0
A Taste like Sin;0;0;0
 4 Volumes;0;0;0
Dead Kings War;0;0;0
Clandestine;0;0;0
A Jinns Wish;0;0;0
Voce;0;0;0
The Poplar Trees;0;0;0
The Forever In Between;0;0;0
Estilhacos De Mentiras;0;0;0
 O Sangue Dos Elfos;0;0;0
The Man in the Needlecord Jacket;0;0;0
The Wounded;0;0;0
Rocford 1;0;0;0
You Within Me;0;0;0
Bloodstone;0;0;0
One Must Tell the Bees;0;0;0
 EDIçãO DE COLECIONADOR;0;0;0
Black Ops;0;0;0
Hybrid Vigils;0;0;0
Black Ops;0;0;0
Black Ops;0;0;0
Dragonkind Dawn of Prophecy;0;0;0
You Within Me;0;0;0
Eneida;0;0;0
Beautiful Rose;0;0;0
 Acompanha Brindes;0;0;0
Queen of Egypt (Large Print Version);0;0;0
The Blood Inside Me;0;0;0
Beautiful Rose;0;0;0
Stone Princess;0;0;0
Incógnito;0;0;0
Ybymara;0;0;0
Razones Sangrientas;0;0;0
The Quest for the Steel;0;0;0
The Quest for the Steel;0;0;0
To The Sea;0;0;0
Bailes Macabros;0;0;0
Draco Saga: A Baronesa;0;0;0
MARIA ACAUã;0;0;0
Ich weiß, wo ich dich finde;0;0;0
Master of the Five Magics;0;0;0
The Forever In Between;0;0;0
3.;0;0;0
Night Life;0;0;0
Invocabit;0;0;0
Die Brosche;0;0;0
Nantucket Weddings;0;0;0
Invocabit;0;0;0
Element of Danger;0;0;0
Ich weiß, wo ich dich finde;0;0;0
A Nantucket Affair;0;0;0
 Box Com 3 Livros;0;0;0
Periféricos;0;0;0
Jennet;0;0;0
The Incredible Adventures of Mushroom and Fungi.  Volume One;0;0;0
The Gift Of The Barking Frog;0;0;0
Pops Place;0;0;0
Big Foot Stories;0;0;0
And Ruin Followed Behind Her;0;0;0
Die Brosche;0;0;0
Eternitys End;0;0;0
Contos De Fadas;0;0;0
Os Sertões;0;0;0
Dois Irmãos;0;0;0
Quand les bougies fleurissent;0;0;0
Adeus East Valley;0;0;0
Thunderlands;0;0;0
Noite Escura;0;0;0
Tchau, Papai!;0;0;0
Backrush;0;0;0
Por los Oídos de los Dioses;0;0;0
Por los Oídos de los Dioses;0;0;0
 El Viajero Solitario La Desaparicion Del Tiempo;0;0;0
 El Viajero Solitario La Desaparicion Del Tiempo;0;0;0
 Edição Luxo;0;0;0
The Road to Solace;0;0;0
 Vol. 1;0;0;0
Timing is Everything;0;0;0
This Used to Be My Playground;0;0;0
Buccinum;141,61;2;70,80
Tharkolai;91,31;1;91,31
¿¿¿¿¿¿ ¿¿¿¿¿¿ / Mutton Samayal;104,34;2;52,17
Ravine Lereux;128,24;2;64,12
Short Story Classics (American) ...;176,61;2;88,30
The Grandissimes;270,99;3;90,33
Grimalkins Dont Purr;155,63;2;77,82
Lockwood;122,89;2;61,44
"The Holcad; 1925";145,91;2;72,96
Mahnaz das kleine Gespenst;140,74;2;70,37
Overland;152,91;2;76,46
Tales of the Indies [microform];130,89;2;65,44
Broken Fighter;137,91;2;68,96
 Dodge;157,72;2;78,86
Northanger Abbey;167,56;2;83,78
Only Twelve Days;178,12;2;89,06
"Prudence Palfrey; a Novel";166,83;2;83,42
Bändigerin der Schatten;165,01;2;82,50
Repetition;115,98;2;57,99
The Awakening;70,23;1;70,23
Daniel North of Wyoming Valley;141,28;2;70,64
Njetotschka;274,28;3;91,43
Os Óculos;122,92;2;61,46
Man Without a Country;136,74;2;68,37
Bloody Spade;121,62;2;60,81
¿¿¿¿ ¿ ¿¿¿¿¿¿¿;262,44;2;131,22
Malayalapperuma;90,76;1;90,76
Woman On Top;126,89;2;63,44
The Taliban Cricket Club;151,41;2;75,70
SriRamanujar / ¿¿¿¿¿¿¿¿¿¿¿¿¿¿;105,17;2;52,58
Thadaikalle Padikkal / ¿¿¿¿¿¿¿¿¿¿ ¿¿¿¿¿¿¿¿;93,40;1;93,40
Chicken Soup For The Teenage Soul;145,91;2;72,96
I (12 PTP);114,98;2;57,49
Tom and Joe. Two Farmer Boys in War and Peace and Love. A L;165,82;2;82,91
Grünes Eis;277,30;3;92,43
An American;119,38;2;59,69
The American;143,27;2;71,64
Liens de Famille;269,32;3;89,77
Retrievers;121,62;2;60,81
The Electric Oath;124,45;2;62,22
Switchback;150,68;2;75,34
Tristan and Isolt;234,63;2;117,32
"Armadale; v. 1";234,91;2;117,46
Life in an Asylum;185,19;2;92,60
Guardians Of Time;107,86;2;53,93
Flame;110,62;2;55,31
The Mysterious Island;130,87;2;65,44
King Solomons Mines, a Novel;168,48;2;84,24
Trophy Girl;200,42;2;100,21
Animals of the Stable;83,37;1;83,37
