nome;preco_a_vista;parcelas;preco_parcelado
Frigobar Philco PH50N 47L - Branco;717,25;1;0
Refrigerador 425l Midea 2 Portas Frost Free Md-rt453fga041;3,181,14;1;0
Filtro B Estar Anti Bactéria Geladeira Consul Original;40;4;10
Combo 2 Filtros de Água Side by Side Brastp (BR906AX);409,78;1;0
Cozinha Infantil Classic Kit Com Fogão Pia Geladeira Bigstar 16 Peças 68cm de Altura 630;114,16;1;0
Frigobar Consul CRC08 76 Litros Branco;1,198,99;12;99,91
Refrigerador Porta de Vidro 324l VB28R - Metalfrio - 220v;3,480,00;10;348
Refrigerador Philco 403 Litros Inverter French Door Inverse Inox PRF411I – 220 Volts;4,079,15;0;0
Mini Cozinha Mdf Infantil Completa Com Geladeira Rosa;991,9;1;0
Prateleira Acrílica para Refrigeradores Continental Original;47;4;11,75
Refrigerador Philco Side By Side 437L Eco Inverter 220V;4,399,91;1;0
Refrigerador Cervejeira Vitrine Metalfrio 572, VN50AH Optima Frost Free, Adesivado;5,399,00;1;0
Frigobar Philco Branco PFG95B 76 Litros Branco 110V;944,1;1;0
Frigobar Philco Branco PFG95B 76 Litros Branco 220V;944,1;1;0
Cozinha Infantil Rosa Pia Forno Fogão Geladeira Magic Toys;176,08;1;0
Geladeira Frost Free Duplex 2 Portas BT42 387 Litros Panasonic;2,869,90;12;239,15
Frigobar EOS Ice Compact 90 Litros Efb100 Branco 220V 220V;832,15;1;0
Geladeira Brastp Frost Free 443 Litros - BRE57 Branco;4,199,00;12;349,91
Geladeira/Refrigerador Cosul 415 Litros CRD46 2 Portas Defrost Branco;2,939,90;12;244,99
Frigobar Philco 76 Litros Branco PFG95B – 127 Volts;899,3;0;0
Frigobar Brastp Retrô BRA08by Amarelo 76L;1,676,14;1;0
Geladeira Electrolux Df82 553 Litros 2 Portas Branco - 220v;4,184,07;1;0
Refrigerador de 02 Portas Panasonic Frost Free com 435 Litros Inverter Aço Escovado - NR-BT51PV3X;3,266,76;1;0
Geladeira / Refrigerador Electrolux Side by Side Frost Free SS72X 504 Litros;8,090,07;1;0
Geladeira/Refrigerador Inverter 554 Litros Philco PRF600I Inox 127V;5,202,91;1;0
